TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.446027 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.446029 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.458882 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.494923 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.494954 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:46.494964 0  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.544921 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.544973 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.565843 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:46.611100 0.0429  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.611168 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.611176 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.620859 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.632876 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.680874 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.680904 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.681026 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.681056 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:46.690872 0.0072  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:46.700875 0.2  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.829167 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.829196 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.829208 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:46.829212 -0.0036  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.829215 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.829217 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.829255 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.839908 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.858906 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:46.945038 0.0536  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.945274 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.995952 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.995990 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:46.996086 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:46.996114 -0.0072  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.044936 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.044963 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.044981 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.055091 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.110954 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.110985 -0.0393  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.111035 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.111086 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.120962 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.181188 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.191928 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.191956 0.0608  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:47.200887 -0.1  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.260002 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.260042 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.328998 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.329194 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.329216 -0.025  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.329260 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.339584 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.358961 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.445305 -0.0179  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.445356 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.445620 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.478961 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.479009 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.494969 -0.0036  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.508965 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.544984 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.545037 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.545044 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.605027 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.605095 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.605106 0.0215  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.610888 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.632997 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.646004 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.691024 0.0072  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.700946 194.9552  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:47.700974 0  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.710972 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.758994 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.759043 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.759046 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.809172 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.809340 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.809410 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.809461 0.025  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.829012 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.839018 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.842978 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.853037 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.878051 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.907000 0.0143  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.916990 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.927012 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.945024 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.994993 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:47.995089 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:47.995126 -0.0143  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.045037 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.045092 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.066002 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.075072 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.084986 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.096004 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.096031 -0.0215  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.111009 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.111035 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.121019 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.133015 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.145659 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.181315 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.190980 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.191004 -0.0393  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:48.200998 -0.2  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.259126 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.329118 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.329195 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.329210 -0.0215  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.329270 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.329285 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.329287 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.359660 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.367023 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.408056 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.408201 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.408235 0.0179  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.445070 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.445094 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.445155 194.9553  
