IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.479166 13.0162  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:31.479166 12.2867  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.579169 9.50903  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:31.579169 12.6309  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.579169 13.0133  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:31.579169 12.2882  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.679172 9.49838  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:31.679172 12.6355  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.679172 13.0222  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:31.679172 12.2911  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.779167 9.50002  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:31.779167 12.6325  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.779167 13.0237  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:31.779167 12.2889  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.879173 9.50411  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:31.879173 12.6202  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.879173 13.0311  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:31.879173 12.2882  
IOC_TEST:m0s005-AI01           2022-11-08 14:08:31.979167 9.50985  
IOC_TEST:m0s005-AI02           2022-11-08 14:08:31.979167 12.6187  
IOC_TEST:m0s005-AI03           2022-11-08 14:08:31.979167 13.0237  
IOC_TEST:m0s005-AI04           2022-11-08 14:08:31.979167 12.2875  
